plant,stem_length_m,internode_id,internode_len_m
0027,2.0591,1,0.0542
0027,2.0591,2,0.1239
0027,2.0591,3,0.1291
0027,2.0591,4,0.3296
0027,2.0591,5,0.1152
0027,2.0591,6,0.259
0027,2.0591,7,0.1992
0027,2.0591,8,0.174
0027,2.0591,9,0.1489
0028,1.9058,1,0.0885
0028,1.9058,2,0.1312
0028,1.9058,3,0.1648
0028,1.9058,4,0.1391
0028,1.9058,5,0.2831
0028,1.9058,6,0.1395
0028,1.9058,7,0.2967
0028,1.9058,8,0.1468
0029,1.3029,1,0.0508
0029,1.3029,2,0.0953
0029,1.3029,3,0.1535
0029,1.3029,4,0.1467
0029,1.3029,5,0.1375
0029,1.3029,6,0.168
0029,1.3029,7,0.1476
0030,1.295,1,0.0915
0030,1.295,2,0.119
0030,1.295,3,0.1492
0030,1.295,4,0.1263
0030,1.295,5,0.1356
0030,1.295,6,0.1509
0031,1.4274,1,0.1502
0031,1.4274,2,0.0771
0031,1.4274,3,0.122
0031,1.4274,4,0.1172
0031,1.4274,5,0.116
0031,1.4274,6,0.1464
0031,1.4274,7,0.1336
0031,1.4274,8,0.1605
0032,1.7319,1,0.1645
0032,1.7319,2,0.1256
0032,1.7319,3,0.2823
0032,1.7319,4,0.1984
0032,1.7319,5,0.1141
0032,1.7319,6,0.179
0032,1.7319,7,0.0665
0032,1.7319,8,0.1068
0032,1.7319,9,0.1036
0032,1.7319,10,0.0709
0033,1.5403,1,0.0894
0033,1.5403,2,0.1603
0033,1.5403,3,0.1335
0033,1.5403,4,0.144
0033,1.5403,5,0.1614
0033,1.5403,6,0.1315
0033,1.5403,7,0.1698
0033,1.5403,8,0.1349
0034,1.5272,1,0.1421
0034,1.5272,2,0.1274
0034,1.5272,3,0.2187
0034,1.5272,4,0.1558
0034,1.5272,5,0.1503
0034,1.5272,6,0.1656
0034,1.5272,7,0.1567
0035,1.5163,1,0.0659
0035,1.5163,2,0.0935
0035,1.5163,3,0.1013
0035,1.5163,4,0.122
0035,1.5163,5,0.13
0035,1.5163,6,0.1265
0035,1.5163,7,0.1703
0035,1.5163,8,0.1348
0035,1.5163,9,0.1225
0035,1.5163,10,0.0806
0036,1.5064,1,0.0955
0036,1.5064,2,0.1306
0036,1.5064,3,0.1295
0036,1.5064,4,0.1643
